id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2021-06-04 06:01:22,突尼斯,350487,0,307778,12839,0,0.0,1925.0,,0.0,0.0,,,
9507896,2021-06-04 00:01:08,塞尔维亚,713207,0,0,6890,0,0.0,218.0,,0.0,0.0,,,
0,2021-06-04 08:11:32,中国,113048,0,98928,5012,0,6090.0,1157.0,,7.0,29.0,,1121.0,9.0
1,2021-06-04 00:01:08,日本本土,755695,0,690467,13331,0,0.0,2831.0,,0.0,0.0,,,
2,2021-06-04 00:01:08,泰国,169348,0,26873,1146,0,0.0,3886.0,,0.0,0.0,,,
3,2021-06-04 01:41:16,新加坡,62145,0,61557,33,0,0.0,31.0,,0.0,0.0,,,
4,2021-06-04 00:01:08,韩国,142157,0,132699,1968,0,0.0,681.0,,0.0,0.0,,,
5,2021-06-04 00:01:08,澳大利亚,30137,0,23594,910,0,0.0,7.0,,0.0,0.0,,,
6,2021-06-04 07:06:23,德国,3701692,0,3518910,88965,0,0.0,3689.0,,0.0,0.0,,,
7,2021-06-04 07:51:19,美国,34169972,0,28021841,611543,0,0.0,16974.0,,0.0,0.0,,,
8,2021-06-04 00:01:08,马来西亚,595374,0,508947,3096,0,0.0,8209.0,,0.0,0.0,,,
9,2021-06-04 00:01:08,越南,8063,0,3085,49,0,0.0,250.0,,0.0,0.0,,,
89566,2020-06-12 17:03:12,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2021-06-04 01:41:16,肯尼亚,171658,0,117345,3223,0,0.0,142.0,,0.0,0.0,,,
826,2021-06-04 00:01:08,伊朗,2945100,0,2508907,80658,0,0.0,9657.0,,0.0,0.0,,,
827,2021-06-04 04:56:16,以色列,839532,0,832812,6416,0,0.0,2.0,,0.0,0.0,,,
828,2020-06-09 19:59:04,毛利亚尼亚,16,0,6,2,0,,,,,,,,
829,2021-06-04 08:11:19,黎巴嫩,541009,0,521458,7747,0,0.0,214.0,,0.0,0.0,,,
833,2021-06-04 00:01:08,克罗地亚,357109,0,347108,8056,0,0.0,280.0,,0.0,0.0,,,
834,2021-06-04 00:01:08,奥地利,645834,0,630731,10627,0,0.0,282.0,,0.0,0.0,,,
835,2021-06-04 00:01:08,瑞士,696801,0,317600,10828,0,0.0,588.0,,0.0,0.0,,,
839,2021-06-04 01:41:16,希腊,406751,0,93764,12184,0,0.0,1379.0,,0.0,0.0,,,
95800,2021-06-04 00:01:08,毛里求斯,1421,0,1198,18,0,0.0,14.0,,0.0,0.0,,,
845,2021-06-04 00:01:08,爱沙尼亚,129909,0,124033,1260,0,0.0,105.0,,0.0,0.0,,,
846,2021-06-04 00:01:08,北马其顿,155364,0,148872,5435,0,0.0,19.0,,0.0,0.0,,,
850,2021-06-04 00:01:08,白俄罗斯,396869,0,388632,2882,0,0.0,879.0,,0.0,0.0,,,
851,2021-06-04 00:01:08,立陶宛,275545,0,257675,4289,0,0.0,347.0,,0.0,0.0,,,
852,2021-06-04 00:01:08,阿塞拜疆,334416,0,325863,4929,0,0.0,128.0,,0.0,0.0,,,
875097,2020-06-12 17:06:26,美属维尔京群岛,72,0,46,6,0,,,,,,,,
95826,2020-06-15 13:26:49,蒙古,197,0,98,0,0,,,,,,,,
872,2021-06-04 00:01:08,乌克兰,2268209,0,2126613,53015,0,0.0,2707.0,,0.0,0.0,,,
874,2021-06-04 00:01:08,波兰,2874092,0,2642127,74075,0,0.0,565.0,,0.0,0.0,,,
879,2021-06-04 00:01:08,波黑,204252,0,175827,9332,0,0.0,80.0,,0.0,0.0,,,
80902,2020-06-12 17:02:32,蒙特塞拉特,11,0,10,1,0,,,,,,,,
880,2021-06-04 00:01:08,南非,1669231,0,1563719,56601,0,0.0,3614.0,,0.0,0.0,,,
95198,2020-06-15 14:48:50,布隆迪,85,0,45,1,0,,,,,,,,
95215522,2020-06-15 07:27:53,南苏丹,1755,0,58,30,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
893,2021-06-04 00:01:08,马耳他,30557,0,30062,419,0,0.0,4.0,,0.0,0.0,,,
896,2021-06-04 01:41:16,摩尔多瓦,255354,0,247830,6125,0,0.0,44.0,,0.0,0.0,,,
897,2021-06-04 07:06:23,保加利亚,419180,0,385271,17792,0,0.0,197.0,,0.0,0.0,,,
898,2021-06-04 00:01:08,孟加拉,805980,0,746035,12724,0,0.0,1687.0,,0.0,0.0,,,
899,2020-06-15 10:20:56,阿尔巴尼亚,1521,0,1044,36,0,,,0.0,,,0.0,,
950000,2021-06-04 00:01:08,巴勒斯坦,309333,0,301443,3509,0,0.0,297.0,,0.0,0.0,,,
95kml,2020-06-15 13:47:09,科摩罗,176,0,114,2,0,,,,,,,,
953333,2021-06-04 00:01:08,阿富汗,75119,0,58070,3034,0,0.0,1093.0,,0.0,0.0,,,
95888822,2021-06-04 00:01:08,沙特阿拉伯,454217,0,436884,7408,0,0.0,1261.0,,0.0,0.0,,,
9511123,2021-06-04 00:01:08,新西兰,2681,0,2638,26,0,0.0,2.0,,0.0,0.0,,,
95333,2021-06-04 00:01:08,塔吉克斯坦,13308,0,13218,90,0,0.0,0.0,,0.0,0.0,,,
83356,2020-06-15 13:25:33,泽西岛,313,0,292,15,0,0.0,,,,,,,
954467,2020-06-15 13:51:09,叙利亚,177,0,74,6,0,,,0.0,,,0.0,,
95327,2021-06-04 00:01:08,巴拿马,379506,0,366508,6381,0,0.0,678.0,,0.0,0.0,,,
95329,2021-06-04 01:41:16,古巴,145567,0,138621,985,0,0.0,1191.0,,0.0,0.0,,,
9511111,2021-06-04 08:11:19,尼日利亚,166682,0,162521,2117,0,0.0,26.0,,0.0,0.0,,,
95858585,2021-06-04 02:46:18,摩洛哥,520423,0,508210,9165,0,0.0,418.0,,0.0,0.0,,,
9500222,2021-06-04 00:01:08,塞内加尔,41539,0,40165,1144,0,0.0,45.0,,0.0,0.0,,,
95118,2020-06-15 14:24:59,老挝,19,0,19,0,0,,,,,,,,
95350,2021-06-04 00:01:08,巴哈马,11864,0,10809,230,0,0.0,68.0,,0.0,0.0,,,
84226,2020-06-15 10:14:23,马约特岛,2282,0,1790,28,0,0.0,,,,,,,
954444,2021-06-04 00:01:08,斯洛文尼亚,254692,0,246433,4383,0,0.0,273.0,,0.0,0.0,,,
95103,2021-06-04 01:41:16,卢森堡,70088,0,68484,818,0,0.0,44.0,,0.0,0.0,,,
95106,2021-06-04 04:56:16,爱尔兰,263252,0,23364,4941,0,0.0,7917.0,,0.0,0.0,,,
95102,2021-06-04 08:11:19,厄瓜多尔,429817,0,375151,20706,0,0.0,1175.0,,0.0,0.0,,,
957777,2021-06-04 00:01:08,捷克,1662608,0,1622876,30136,0,0.0,352.0,,0.0,0.0,,,
9522222,2021-06-04 00:01:08,匈牙利,805302,0,708198,29792,0,0.0,315.0,,0.0,0.0,,,
8101,2020-06-15 10:57:56,法属圭亚那,1255,0,534,3,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
8102,2020-06-15 11:45:39,多哥共和国,530,0,291,13,0,0.0,,,,,,,
8100,2021-06-04 00:01:08,哥斯达黎加,323598,0,245708,4098,0,0.0,2319.0,,0.0,0.0,,,
8105,2021-06-04 00:01:08,文莱,244,0,231,3,0,0.0,2.0,,0.0,0.0,,,
8103,2020-06-15 13:46:38,法罗群岛,187,0,187,0,0,0.0,,,,,,,
8104,2021-06-04 00:01:08,马提尼克岛,37,0,0,1,0,0.0,5.0,,0.0,0.0,,,
95120,2021-06-04 00:01:08,荷兰,1684344,0,26887,17932,0,0.0,2749.0,,0.0,0.0,,,
951234567,2021-06-04 07:06:23,巴西,16803472,0,14763694,469388,0,0.0,95601.0,,0.0,0.0,,,
8115,2021-06-04 00:01:08,洪都拉斯,239428,0,85784,6403,0,0.0,608.0,,0.0,0.0,,,
95394,2021-06-04 00:01:08,乌拉圭,301524,0,259959,4394,0,0.0,3518.0,,0.0,0.0,,,
95390,2021-06-04 08:11:19,秘鲁,1965432,0,1918756,184942,0,0.0,9963.0,,0.0,0.0,,,
956666,2021-06-04 03:51:17,智利,1403101,0,1327643,29598,0,0.0,5616.0,,0.0,0.0,,,
95389,2020-06-15 00:00:31,格陵兰,13,0,13,0,0,0.0,,,,,,,
95382,2020-06-12 17:03:05,圣巴托洛谬岛,6,0,6,0,0,,,,,,,,
950101010,2021-06-04 06:01:22,马尔代夫,66516,0,43959,173,0,0.0,704.0,,0.0,0.0,,,
95384,2021-06-04 00:01:08,委内瑞拉,236755,0,217798,2674,0,0.0,1188.0,,0.0,0.0,,,
8134,2021-06-04 00:01:08,毛里塔尼亚,19650,0,18614,464,0,0.0,52.0,,0.0,0.0,,,
8135,2020-06-15 00:00:31,纳米比亚,31,0,17,0,0,,,,,,,,
8132,2020-06-15 13:04:24,法属留尼汪岛,487,0,447,1,0,0.0,,,,,,,
8133,2020-06-13 11:26:34,波多黎各,5536,0,0,146,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
95732,2021-06-04 00:01:08,加纳,94011,0,92057,785,0,0.0,0.0,,0.0,0.0,,,
8136,2021-06-04 00:01:08,赤道几内亚,8572,0,8189,118,0,0.0,43.0,,0.0,0.0,,,
8130,2021-06-04 00:01:08,几内亚,23194,0,21193,162,0,0.0,17.0,,0.0,0.0,,,
8131,2021-06-04 07:06:23,卢旺达,27119,0,26028,358,0,0.0,41.0,,0.0,0.0,,,
80001,2020-06-15 00:00:31,格林纳达,23,0,22,0,0,,,,,,,,
8129,2021-06-04 00:01:08,斯威士兰,18618,0,17882,673,0,0.0,17.0,,0.0,0.0,,,
8145,2021-06-04 00:01:08,坦桑尼亚,509,0,183,21,0,0.0,0.0,,0.0,0.0,,,
8146,2021-06-04 00:01:08,贝宁,8082,0,7893,102,0,0.0,24.0,,0.0,0.0,,,
8143,2021-06-04 01:41:16,刚果（金）,32177,0,27727,789,0,0.0,283.0,,0.0,0.0,,,
8144,2021-06-04 00:01:08,中非共和国,7091,0,6859,98,0,0.0,0.0,,0.0,0.0,,,
8147,2021-06-04 00:01:08,利比里亚,2219,0,2044,86,0,0.0,9.0,,0.0,0.0,,,
8148,2021-06-04 00:01:08,索马里,14691,0,6846,770,0,0.0,24.0,,0.0,0.0,,,
95123456,2021-06-04 00:01:08,塞拉利昂,4156,0,3141,79,0,0.0,8.0,,0.0,0.0,,,
95XXXX,2021-06-04 00:01:08,乍得,4935,0,4747,173,0,0.0,1.0,,0.0,0.0,,,
8152,2021-06-04 06:01:22,赞比亚,97388,0,92320,1288,0,0.0,742.0,,0.0,0.0,,,
8151,2020-06-15 13:01:51,巴巴多斯,96,0,83,7,0,,,,,,,,
