id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2021-05-09 07:39:55,突尼斯,319512,0,276198,11350,0,0.0,1276.0,,1928.0,73.0,,,
9507896,2021-05-09 07:39:55,塞尔维亚,698518,0,0,6519,0,0.0,0.0,,0.0,0.0,,,
0,2021-05-09 07:45:01,中国,103796,0,98439,4858,0,5760.0,22.0,,30.0,0.0,,-8.0,12.0
1,2021-05-09 07:39:55,日本本土,635568,0,551137,10796,0,0.0,7249.0,,0.0,0.0,,,
2,2021-05-09 07:39:54,泰国,81274,0,26873,382,0,0.0,2419.0,,0.0,0.0,,,
3,2021-05-09 07:39:55,新加坡,61331,0,60912,31,0,0.0,20.0,,6.0,0.0,,,
4,2021-05-09 10:49:51,韩国,127309,0,117423,1874,0,0.0,564.0,,542.0,9.0,,,
5,2021-05-09 10:49:51,澳大利亚,29922,0,23429,910,0,0.0,16.0,,13.0,0.0,,,
6,2021-05-09 10:49:51,德国,3520336,0,3160630,84668,0,0.0,2442.0,,10.0,2.0,,,
7,2021-05-09 10:19:51,美国,33454581,0,26405871,595588,0,0.0,35755.0,,81114.0,677.0,,,
8,2021-05-09 07:39:55,马来西亚,436944,0,398723,1657,0,0.0,4519.0,,0.0,0.0,,,
9,2021-05-09 07:39:55,越南,3230,0,2602,35,0,0.0,93.0,,0.0,0.0,,,
89566,2020-06-12 17:03:12,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2021-05-09 07:39:55,肯尼亚,163238,0,111129,2883,0,0.0,572.0,,476.0,18.0,,,
826,2021-05-09 07:39:55,伊朗,2640670,0,2092381,74524,0,0.0,13576.0,,0.0,0.0,,,
827,2021-05-09 07:39:55,以色列,838886,0,831432,6376,0,0.0,28.0,,52.0,1.0,,,
828,2020-06-09 19:59:04,毛利亚尼亚,16,0,6,2,0,,,,,,,,
829,2021-05-09 07:39:55,黎巴嫩,532269,0,481968,7460,0,0.0,1035.0,,0.0,0.0,,,
833,2021-05-09 07:39:55,克罗地亚,343829,0,325700,7424,0,0.0,1342.0,,0.0,0.0,,,
834,2021-05-09 07:39:54,奥地利,630050,0,601958,10374,0,0.0,1233.0,,0.0,0.0,,,
835,2021-05-09 07:39:54,瑞士,670613,0,317600,10704,0,0.0,0.0,,0.0,0.0,,,
839,2021-05-09 07:39:55,希腊,360577,0,93764,10978,0,0.0,2461.0,,0.0,68.0,,,
95800,2021-05-09 07:39:55,毛里求斯,1240,0,1121,17,0,0.0,19.0,,0.0,0.0,,,
845,2021-05-09 07:39:55,爱沙尼亚,124901,0,115699,1195,0,0.0,372.0,,0.0,0.0,,,
846,2021-05-09 07:39:55,北马其顿,153891,0,137664,5079,0,0.0,197.0,,333.0,12.0,,,
850,2021-05-09 07:39:55,白俄罗斯,367674,0,358261,2622,0,0.0,1369.0,,0.0,0.0,,,
851,2021-05-09 07:39:54,立陶宛,256906,0,231841,4024,0,0.0,1522.0,,0.0,0.0,,,
852,2021-05-09 07:39:55,阿塞拜疆,326056,0,304580,4666,0,0.0,649.0,,0.0,0.0,,,
875097,2020-06-12 17:06:26,美属维尔京群岛,72,0,46,6,0,,,,,,,,
95826,2020-06-15 13:26:49,蒙古,197,0,98,0,0,,,,,,,,
872,2021-05-09 07:39:55,乌克兰,2169650,0,1801896,48095,0,0.0,8841.0,,0.0,0.0,,,
874,2021-05-09 07:39:55,波兰,2829196,0,2563079,69866,0,0.0,4771.0,,0.0,0.0,,,
879,2021-05-09 07:39:54,波黑,200693,0,164717,8790,0,0.0,0.0,,0.0,0.0,,,
80902,2020-06-12 17:02:32,蒙特塞拉特,11,0,10,1,0,,,,,,,,
880,2021-05-09 07:39:55,南非,1592626,0,1513202,54687,0,0.0,2256.0,,0.0,0.0,,,
95198,2020-06-15 14:48:50,布隆迪,85,0,45,1,0,,,,,,,,
95215522,2020-06-15 07:27:53,南苏丹,1755,0,58,30,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
893,2021-05-09 07:39:54,马耳他,30438,0,29774,417,0,0.0,6.0,,0.0,0.0,,,
896,2021-05-09 07:39:54,摩尔多瓦,252604,0,243195,5943,0,0.0,191.0,,399.0,14.0,,,
897,2021-05-09 07:39:55,保加利亚,409961,0,348185,16902,0,0.0,466.0,,315.0,16.0,,,
898,2021-05-09 07:39:55,孟加拉,772127,0,706833,11878,0,0.0,1285.0,,0.0,0.0,,,
899,2020-06-15 10:20:56,阿尔巴尼亚,1521,0,1044,36,0,,,0.0,,,0.0,,
950000,2021-05-09 07:54:54,巴勒斯坦,301437,0,285575,3351,0,0.0,491.0,,2005.0,13.0,,,
95kml,2020-06-15 13:47:09,科摩罗,176,0,114,2,0,,,,,,,,
953333,2021-05-09 07:39:55,阿富汗,61755,0,54040,2683,0,0.0,300.0,,0.0,10.0,,,
95888822,2021-05-09 07:39:55,沙特阿拉伯,425442,0,408676,7059,0,0.0,997.0,,0.0,0.0,,,
9511123,2021-05-09 10:49:51,新西兰,2642,0,2589,26,0,0.0,2.0,,0.0,0.0,,,
95333,2021-05-09 07:39:55,塔吉克斯坦,13308,0,13218,90,0,0.0,0.0,,0.0,0.0,,,
83356,2020-06-15 13:25:33,泽西岛,313,0,292,15,0,0.0,,,,,,,
954467,2020-06-15 13:51:09,叙利亚,177,0,74,6,0,,,0.0,,,0.0,,
95327,2021-05-09 10:49:52,巴拿马,367270,0,356852,6265,0,0.0,508.0,,332.0,7.0,,,
95329,2021-05-09 07:39:55,古巴,114912,0,108448,722,0,0.0,1036.0,,0.0,0.0,,,
9511111,2021-05-09 09:44:51,尼日利亚,165370,0,156250,2065,0,0.0,30.0,,796.0,0.0,,,
95858585,2021-05-09 07:39:55,摩洛哥,513628,0,500540,9064,0,0.0,314.0,,348.0,7.0,,,
9500222,2021-05-09 07:39:55,塞内加尔,40665,0,39335,1117,0,0.0,44.0,,19.0,1.0,,,
95118,2020-06-15 14:24:59,老挝,19,0,19,0,0,,,,,,,,
95350,2021-05-09 07:39:55,巴哈马,10773,0,9781,212,0,0.0,62.0,,0.0,0.0,,,
84226,2020-06-15 10:14:23,马约特岛,2282,0,1790,28,0,0.0,,,,,,,
954444,2021-05-09 07:39:55,斯洛文尼亚,245793,0,232389,4286,0,0.0,634.0,,0.0,0.0,,,
95103,2021-05-09 07:39:55,卢森堡,68153,0,64943,801,0,0.0,0.0,,0.0,0.0,,,
95106,2021-05-09 07:39:55,爱尔兰,252303,0,23364,4919,0,0.0,399.0,,0.0,1.0,,,
95102,2021-05-09 07:39:55,厄瓜多尔,398921,0,329582,19137,0,0.0,2033.0,,0.0,76.0,,,
957777,2021-05-09 07:39:55,捷克,1644335,0,1575399,29647,0,0.0,1639.0,,0.0,0.0,,,
9522222,2021-05-09 07:39:55,匈牙利,790564,0,561119,28504,0,0.0,1376.0,,0.0,0.0,,,
8101,2020-06-15 10:57:56,法属圭亚那,1255,0,534,3,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
8102,2020-06-15 11:45:39,多哥共和国,530,0,291,13,0,0.0,,,,,,,
8100,2021-05-09 07:39:55,哥斯达黎加,265486,0,212525,3365,0,0.0,2392.0,,0.0,0.0,,,
8105,2021-05-09 07:39:55,文莱,230,0,218,3,0,0.0,1.0,,0.0,0.0,,,
8103,2020-06-15 13:46:38,法罗群岛,187,0,187,0,0,0.0,,,,,,,
8104,2021-05-09 07:39:55,马提尼克岛,37,0,0,1,0,0.0,5.0,,0.0,0.0,,,
95120,2021-05-09 10:39:57,荷兰,1580299,0,26241,17578,0,0.0,19.0,,35.0,2.0,,,
951234567,2021-05-09 09:44:51,巴西,15145879,0,13422047,421316,0,0.0,63430.0,,21972.0,2202.0,,,
8115,2021-05-09 07:39:55,洪都拉斯,218330,0,81160,5585,0,0.0,735.0,,0.0,0.0,,,
95394,2021-05-09 07:54:55,乌拉圭,218800,0,189739,3082,0,0.0,2654.0,,2586.0,50.0,,,
95390,2021-05-09 10:49:52,秘鲁,1845056,0,1793390,63826,0,0.0,5591.0,,6535.0,307.0,,,
956666,2021-05-09 07:39:55,智利,1241976,0,1177342,27101,0,0.0,6198.0,,6905.0,97.0,,,
95389,2020-06-15 00:00:31,格陵兰,13,0,13,0,0,0.0,,,,,,,
95382,2020-06-12 17:03:05,圣巴托洛谬岛,6,0,6,0,0,,,,,,,,
950101010,2021-05-09 07:39:55,马尔代夫,34724,0,25992,83,0,0.0,590.0,,210.0,1.0,,,
95384,2021-05-09 10:39:57,委内瑞拉,206549,0,188947,2280,0,0.0,1368.0,,1282.0,17.0,,,
8134,2021-05-09 09:44:51,毛里塔尼亚,18636,0,17865,456,0,0.0,23.0,,18.0,0.0,,,
8135,2020-06-15 00:00:31,纳米比亚,31,0,17,0,0,,,,,,,,
8132,2020-06-15 13:04:24,法属留尼汪岛,487,0,447,1,0,0.0,,,,,,,
8133,2020-06-13 11:26:34,波多黎各,5536,0,0,146,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
95732,2021-05-09 07:39:54,加纳,92856,0,90480,783,0,0.0,0.0,,0.0,0.0,,,
8136,2021-05-09 07:39:55,赤道几内亚,7694,0,7279,112,0,0.0,0.0,,0.0,0.0,,,
8130,2021-05-09 07:39:55,几内亚,22602,0,20186,150,0,0.0,97.0,,0.0,0.0,,,
8131,2021-05-09 07:39:55,卢旺达,25586,0,24119,338,0,0.0,47.0,,69.0,0.0,,,
80001,2020-06-15 00:00:31,格林纳达,23,0,22,0,0,,,,,,,,
8129,2021-05-09 07:39:54,斯威士兰,18477,0,17777,671,0,0.0,3.0,,4.0,0.0,,,
8145,2021-05-09 07:39:55,坦桑尼亚,509,0,183,21,0,0.0,0.0,,0.0,0.0,,,
8146,2021-05-09 07:39:54,贝宁,7884,0,7652,100,0,0.0,0.0,,0.0,0.0,,,
8143,2021-05-09 07:39:55,刚果（金）,30285,0,26434,772,0,0.0,45.0,,110.0,0.0,,,
8144,2021-05-09 07:39:55,中非共和国,6674,0,5112,93,0,0.0,0.0,,0.0,0.0,,,
8147,2021-05-09 07:39:55,利比里亚,2114,0,1962,85,0,0.0,1.0,,0.0,0.0,,,
