date,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_storeConfirm,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
2021-03-24,102612,0,97315,4850,,5232,447,23,0,0,0,,0,11
2021-03-25,102635,0,97361,4850,,5243,424,23,1,0,0,,0,11
2021-03-26,102659,0,97406,4851,,5254,402,24,0,0,0,,0,11
2021-03-27,102680,0,97430,4851,,5262,399,21,1,0,0,,0,8
2021-03-28,102698,0,97457,4851,,5277,390,18,0,0,0,,0,15
2021-03-29,102715,0,97483,4851,,5285,381,17,0,0,0,,0,8
2021-03-30,102734,0,97499,4851,,5290,384,19,1,0,0,,0,5
2021-03-31,102762,0,97518,4851,,5300,393,28,0,0,0,,0,10
2021-04-01,102790,0,97541,4851,,5305,398,28,2,0,0,,0,5
2021-04-02,102838,0,97570,4851,,5324,417,48,0,0,0,,0,19
2021-04-03,102867,0,97595,4851,,5335,421,29,2,0,0,,0,11
2021-04-04,102908,0,97615,4851,,5352,442,41,0,0,0,,0,17
2021-04-05,102949,0,97646,4851,,5361,452,41,0,0,0,,0,9
2021-04-06,102970,0,97664,4851,,5371,455,21,0,0,0,,0,10
2021-04-07,103003,0,97681,4851,,5384,471,33,0,0,0,,0,13
2021-04-08,103034,0,97700,4851,,5397,483,31,1,0,0,,0,13
2021-04-09,103066,0,97733,4853,,5411,480,32,0,0,0,,0,14
2021-04-10,103083,0,97749,4853,,5421,481,17,0,0,0,,0,10
2021-04-11,103113,0,97771,4854,,5435,488,30,1,0,0,,0,14
2021-04-12,103136,0,97794,4854,,5443,488,23,0,0,0,,0,8
2021-04-13,103165,0,97815,4855,,5454,495,29,2,0,0,,0,11
2021-04-14,103185,0,97838,4856,,5464,491,20,1,0,0,,0,10
2021-04-15,103203,0,97858,4856,,5474,489,18,0,0,0,,0,10
2021-04-16,103237,0,97871,4856,,5488,510,34,0,0,0,,0,14
2021-04-17,103273,0,97888,4856,,5504,529,36,1,0,0,,0,16
2021-04-18,103315,0,97910,4856,,5515,549,42,1,0,0,,0,11
2021-04-19,103340,0,97929,4856,,5524,555,25,0,0,0,,0,9
2021-04-20,103371,0,97973,4856,,5543,542,31,0,0,0,,0,19
2021-04-21,103382,0,97996,4856,,5549,530,11,2,0,0,,0,6
2021-04-22,103419,0,98030,4856,,5568,533,37,0,0,0,,0,19
2021-04-23,103441,0,98052,4856,,5577,533,22,3,0,0,,0,9
2021-04-24,103464,0,98078,4856,,5590,530,23,2,0,0,,0,13
2021-04-25,103484,0,98100,4857,,5601,527,20,0,0,0,,0,11
2021-04-26,103503,0,98116,4857,,5612,530,19,0,0,0,,0,11
2021-04-27,103529,0,98147,4857,,5624,525,26,4,0,0,,0,12
2021-04-28,103562,0,98173,4857,,5644,532,33,1,0,0,,0,20
2021-04-29,103595,0,98195,4857,,5657,543,33,3,0,0,,0,13
2021-04-30,103622,0,98228,4857,,5673,537,27,3,0,0,,0,16
2021-05-01,103649,0,98259,4858,,5688,532,27,1,0,0,,0,15
2021-05-02,103667,0,98287,4858,,5699,522,18,0,0,0,,0,11
2021-05-03,103694,0,98307,4858,,5716,529,27,0,0,0,,0,17
2021-05-04,103713,0,98333,4858,,5723,522,19,6,0,0,,0,7
2021-05-05,103731,0,98361,4858,,5728,512,18,1,0,0,,0,5
2021-05-06,103759,0,98387,4858,,5741,514,28,0,0,0,,0,13
2021-05-07,103774,0,98409,4858,,5748,507,15,4,0,0,,0,7
2021-05-08,103796,0,98439,4858,,5760,499,22,0,0,0,,0,12
2021-05-09,103809,0,98466,4858,,5771,485,13,0,0,0,,0,11
2021-05-10,103842,0,98479,4858,,5785,505,33,1,0,0,,0,14
2021-05-11,103870,0,98506,4858,,5801,506,28,0,0,0,,0,16
2021-05-12,103902,0,98532,4858,,5810,512,32,0,0,0,,0,9
2021-05-13,103937,0,98556,4858,,5815,523,35,1,0,0,,0,5
2021-05-14,103986,0,98586,4858,,5824,542,49,0,0,0,,0,9
2021-05-15,104192,0,98607,4858,,5838,727,206,1,0,0,,0,14
2021-05-16,104428,0,98635,4858,,5858,935,236,1,0,0,,0,20
2021-05-17,104786,0,98666,4858,,5876,1262,358,1,0,0,,0,18
2021-05-18,105044,0,98687,4860,,5890,1497,258,0,0,0,,0,14
2021-05-19,105330,0,98711,4860,,5901,1759,286,0,0,0,,0,11
2021-05-20,105647,0,98729,4861,,5925,2057,317,0,0,0,,0,24
2021-05-21,105972,0,98746,4861,,5934,2365,325,2,0,0,,0,9
2021-05-22,106715,0,98754,4863,,5952,3098,743,0,0,0,,0,18
